docling_ref,table_index,pages,decision,classification,review_source,note
#/tables/0,0,3,include,true_table,accepted_after_user_review,
#/tables/1,1,5,exclude,navigational_list,automatic_toc_rule,
#/tables/2,2,6,exclude,navigational_list,automatic_toc_rule,
#/tables/3,3,7,exclude,navigational_list,automatic_toc_rule,
#/tables/4,4,8,exclude,navigational_list,automatic_toc_rule,
#/tables/5,5,9,exclude,navigational_list,automatic_toc_rule,
#/tables/6,6,10,exclude,navigational_list,automatic_toc_rule,
#/tables/7,7,11,exclude,navigational_list,automatic_toc_rule,
#/tables/8,8,12,exclude,navigational_list,automatic_toc_rule,
#/tables/9,9,13,exclude,navigational_list,automatic_toc_rule,
#/tables/10,10,14,exclude,navigational_list,automatic_toc_rule,
#/tables/11,11,17,exclude,navigational_list,automatic_toc_rule,
#/tables/12,12,19,include,true_table,accepted_after_user_review,
#/tables/13,13,58,include,true_table,accepted_after_user_review,
#/tables/14,14,59,include,true_table,accepted_after_user_review,
#/tables/15,15,59,include,true_table,accepted_after_user_review,
#/tables/16,16,78,include,true_table,accepted_after_user_review,
#/tables/17,17,82,include,true_table,accepted_after_user_review,
#/tables/18,18,83,include,true_table,accepted_after_user_review,
#/tables/19,19,105,include,true_table,accepted_after_user_review,
#/tables/20,20,106,include,true_table,accepted_after_user_review,
#/tables/21,21,107,exclude,figure,user_review,Figure 22 Simplified Zachman Framework，不是表格
#/tables/22,22,131,include,true_table,accepted_after_user_review,
#/tables/23,23,132,include,true_table,accepted_after_user_review,
#/tables/24,24,132,include,true_table,accepted_after_user_review,
#/tables/25,25,137,exclude,er_diagram,user_review,ER 圖中的實體，不是表格
#/tables/26,26,140,include,true_table,accepted_after_user_review,
#/tables/27,27,141,include,true_table,accepted_after_user_review,
#/tables/28,28,168,include,true_table,accepted_after_user_review,
#/tables/29,29,184,include,true_table,accepted_after_user_review,
#/tables/30,30,250,exclude,attribute_template,user_review,只有屬性的示意表格，包含空值列
#/tables/31,31,254,include,true_table,accepted_after_user_review,
#/tables/32,32,331,include,true_table,accepted_after_user_review,
#/tables/33,33,333,include,true_table,accepted_after_user_review,
#/tables/34,34,357,include,true_table,accepted_after_user_review,
#/tables/35,35,358,include,true_table,accepted_after_user_review,
#/tables/36,36,358,include,true_table,accepted_after_user_review,
#/tables/37,37,358,include,true_table,accepted_after_user_review,
#/tables/38,38,359,include,true_table,accepted_after_user_review,
#/tables/39,39,359,include,true_table,accepted_after_user_review,
#/tables/40,40,361,include,true_table,accepted_after_user_review,
#/tables/41,41,365,include,true_table,accepted_after_user_review,
#/tables/42,42,366,include,true_table,accepted_after_user_review,
#/tables/43,43,368,include,true_table,accepted_after_user_review,
#/tables/44,44,381,exclude,flowchart,user_review,流程圖，不是表格
#/tables/45,45,393,include,true_table,accepted_after_user_review,
#/tables/46,46,397,include,true_table,accepted_after_user_review,
#/tables/47,47,462,include,true_table,accepted_after_user_review,
#/tables/48,48,463,include,true_table,accepted_after_user_review,
#/tables/49,49,484,include,true_table,accepted_after_user_review,
#/tables/50,50,485,include,true_table,accepted_after_user_review,
#/tables/51,51,505,include,true_table,accepted_after_user_review,
#/tables/52,52,551,include,true_table,accepted_after_user_review,
#/tables/53,53,579,include,true_table,accepted_after_user_review,
#/tables/54,54,582,include,true_table,accepted_after_user_review,
#/tables/55,55,585,include,true_table,accepted_after_user_review,
#/tables/56,56,604,include,true_table,accepted_after_user_review,
#/tables/57,57,606,include,true_table,accepted_after_user_review,
#/tables/58,58,612,include,true_table,accepted_after_user_review,
#/tables/59,59,616,exclude,acknowledgements,user_review,Primary Contributors 名單，不是知識表格
#/tables/60,60,616,exclude,acknowledgements,user_review,Reviewers and Commenters 名單，不是知識表格
#/tables/61,61,619,exclude,index,user_review,書末索引，不是資料表格
#/tables/62,62,619,exclude,index,user_review,書末索引，不是資料表格
